휴게소명,도로노선번호,도로노선명,휴게소종류,휴게소운영시작시각,휴게소운영종료시각,도로점용면적,주차면수,경정비가능여부,주유소유무,LPG충전소유무,전기차충전소유무,휴게소전화번호,데이터기준일자,위도,경도
강릉(강릉),50,영동선,일반휴게소,0:00,23:59,85218,252,N,Y,Y,Y,033-648-8850,2019-05-31,37.75797854,128.806229
강릉(인천),50,영동선,일반휴게소,0:00,23:59,71026,279,N,Y,Y,Y,033-647-9970,2019-05-31,37.7593047,128.805682
강천산(광주),12,광주대구선,일반휴게소,0:00,23:59,17767,63,N,Y,N,Y,063-653-4033,2019-05-31,35.36545694,127.105943
강천산(대구),12,광주대구선,간이휴게소,0:00,23:59,12365,56,N,Y,N,Y,063-653-3050,2019-05-31,35.36440052,127.104463
거창(광주),12,광주대구선,일반휴게소,0:00,23:59,56462,110,N,Y,Y,Y,055-943-9534,2019-05-31,35.70828623,128.057928
거창(대구),12,광주대구선,일반휴게소,0:00,23:59,56462,86,N,Y,N,Y,055-943-0992,2019-05-31,35.70605077,128.057267
건천(부산),1,경부선,간이휴게소,0:00,23:59,13041,146,N,Y,N,Y,054-751-6890,2019-05-31,35.83033573,129.109325
건천(서울),1,경부선,일반휴게소,0:00,23:59,23174,124,N,Y,N,Y,054-751-7401,2019-05-31,35.83139735,129.109181
경산(서울),1,경부선,일반휴게소,0:00,23:59,40171,215,Y,Y,Y,Y,053-852-5243,2019-05-31,35.87869528,128.810439
경주(부산),1,경부선,화물차휴게소,0:00,23:59,72848,290,Y,Y,Y,Y,054-748-3195,2019-05-31,35.72408614,129.193321
고성(통영),35,중부선,화물차휴게소,0:00,23:59,42488,187,N,Y,Y,Y,055-674-7028,2019-05-31,35.05626681,128.252358
고성(대전),35,중부선,일반휴게소,0:00,23:59,50422,160,N,Y,Y,Y,055-674-0494,2019-05-31,35.05210818,128.262958
고창고인돌(목포),15,서해안선,일반휴게소,0:00,23:59,52451,294,Y,Y,Y,Y,063-561-6313,2019-05-31,35.46831287,126.674231
고창고인돌(서울),15,서해안선,일반휴게소,0:00,23:59,114191,261,Y,Y,Y,Y,063-561-6323,2019-05-31,35.46223145,126.672727
곡성(순천),25,호남선,일반휴게소,0:00,23:59,16137,54,N,Y,Y,Y,061-363-2766,2019-05-31,35.25854255,127.150987
곡성(천안),25,호남선,일반휴게소,0:00,23:59,24680,118,N,Y,Y,Y,061-362-8300,2019-05-31,35.25919084,127.152561
공주(당진),30,당진영덕선,일반휴게소,0:00,23:59,52144,178,N,Y,Y,Y,041-854-0050,2019-05-31,36.49814709,127.165284
공주(대전),30,당진영덕선,일반휴게소,0:00,23:59,49748,188,N,Y,Y,Y,041-854-6060,2019-05-31,36.49727066,127.166691
괴산(창원),45,중부내륙선,일반휴게소,0:00,23:59,37162,90,N,Y,Y,Y,043-832-7966,2019-05-31,36.8317868,127.959603
괴산(양평),45,중부내륙선,일반휴게소,0:00,23:59,38776,90,N,Y,Y,Y,043-832-6594,2019-05-31,36.83146126,127.958292
구리(일산),100,서울외곽선,간이휴게소,0:00,23:59,19500,144,N,N,Y,Y,031-529-3564,2019-05-31,37.62802998,127.139195
구정(삼척),65,동해선,일반휴게소,0:00,23:59,41920,230,N,Y,N,Y,033-644-8345,2019-05-31,37.72235422,128.851747
구정(속초),65,동해선,일반휴게소,0:00,23:59,52345,226,N,Y,N,Y,033-644-4760,2019-05-31,37.72268368,128.853952
군산(목포),15,서해안선,일반휴게소,0:00,23:59,14071,151,N,Y,Y,Y,063-453-0402,2019-05-31,35.98103586,126.82927
군산(서울),15,서해안선,일반휴게소,0:00,23:59,50249,226,N,Y,Y,Y,063-453-2868,2019-05-31,36.01878152,126.7970215
군위(부산),55,중앙선,일반휴게소,0:00,23:59,36839,227,N,Y,Y,Y,054-383-6114,2019-05-31,36.26643871,128.57538
군위(춘천),55,중앙선,일반휴게소,0:00,23:59,39273,227,N,Y,Y,Y,054-383-7114,2019-05-31,36.26571072,128.576577
금강(부산),1,경부선,일반휴게소,0:00,23:59,17409,295,Y,Y,N,Y,043-731-2233,2019-05-31,36.27907928,127.672199
금왕(제천),40,평택제천선,간이휴게소,0:00,23:59,42829,170,N,Y,Y,Y,043-881-0001,2019-05-31,36.96914912,127.590684
금왕(평택),40,평택제천선,간이휴게소,0:00,23:59,42627,170,N,Y,Y,Y,043-877-7000,2019-05-31,36.97038724,127.58965
기흥(부산),1,경부선,일반휴게소,0:00,23:59,72615,418,N,Y,Y,Y,031-286-5001,2019-05-31,37.23512142,127.10532
김천(부산),1,경부선,화물차휴게소,0:00,23:59,45224,193,N,Y,Y,Y,054-435-0211,2019-05-31,36.12934246,128.164904
